#	600	800	900	1100	1200	1400	1550	1700	2000	2100	2400	2800	2900	3500	5000	6800
0%	4	6	10	15	17	22	26	27	30	30	30	33	34	25	30	35
1%	4	9	14	21	24	27	32	32	32	32	32	35	35	30	30	35
2%	10	14	14	21	24	30	33	33	33	33	33	35	35	32	30	34
4%	10	15	15	21	24	30	33	33	33	34	33	35	33	33	30	33
6%	10	15	17	21	25	30	33	33	35	36	34	35	33	33	30	33
10%	10	15	17	23	27	31	33	35	36	37	35	35	33	33	30	32
15%	10	15	17	27	29	33	33	35	39	39	35	36	33	33	30	32
20%	15	20	20	27	30	33	33	35	42	39	35	34	33	32	30	32
30%	20	20	20	27	30	33	33	32	43	39	34	33	33	30	30	31
40%	20	20	20	27	32	33	33	30	43	38	33	33	33	30	30	31
60%	20	20	20	27	35	33	33	25	43	38	33	33	33	30	30	30
80%	20	20	20	27	40	33	33	25	43	37	33	33	33	33	27	30
100%	20	20	20	27	40	33	33	25	43	37	33	33	33	33	27	30
