#	600	800	900	1100	1200	1400	1550	1700	2000	2100	2400	2800	2900	3500	5000	6800
0%	50	50	50	50	50	50	50	52	55	55	55	55	55	50	50	50
1%	45	45	50	50	50	50	50	50	50	50	50	50	50	50	50	50
2%	40	40	40	41	39	38	39	39	39	40	38	40	43	40	46	46
4%	40	40	40	36	35	34	38	38	33	32	30	35	40	35	44	44
6%	40	40	40	32	30	29	30	32	27	24	26	30	36	30	42	42
10%	40	40	40	32	26	24	28	27	21	20	21	26	32	29	39	40
15%	40	40	40	32	22	20	23	22	17	15	18	21	26	27	40	40
20%	40	40	40	32	22	16	18	18	14	12	15	18	21	24	42	42
30%	40	40	40	32	22	12	17	13	8	8	13	15	18	21	39	46
40%	40	40	40	32	22	10	12	9	5	7	11	13	15	18	36	50
60%	40	40	40	32	22	10	11	6	2	5	10	11	13	15	33	50
80%	40	40	40	32	22	10	10	2	2	3	9	9	12	12	30	51
100%	40	40	40	32	22	10	10	2	2	3	9	9	12	12	30	51
