#Diff	600	800	900	1100	1200	1400	1550	1700	2000	2100	2400	2800	2900	3500	5000	6800
0%	46	44	40	35	33	28	24	25	25	25	25	22	21	25	20	15
1%	41	36	36	29	26	23	18	18	18	18	18	15	15	20	20	15
2%	30	26	26	20	15	8	6	6	6	7	5	5	8	8	16	12
4%	30	25	25	15	11	4	5	5	0	-2	-3	0	7	2	14	11
6%	30	25	23	11	5	-1	-3	-1	-8	-12	-8	-5	3	-3	12	9
10%	30	25	23	9	-1	-7	-5	-8	-15	-17	-14	-9	-1	-4	9	8
15%	30	25	23	5	-7	-13	-10	-13	-22	-24	-17	-15	-7	-6	10	8
20%	25	20	20	5	-8	-17	-15	-17	-28	-27	-20	-16	-12	-8	12	10
30%	20	20	20	5	-8	-21	-16	-19	-35	-31	-21	-18	-15	-9	9	15
40%	20	20	20	5	-10	-23	-21	-21	-38	-31	-22	-20	-18	-12	6	19
60%	20	20	20	5	-13	-23	-22	-19	-41	-33	-23	-22	-20	-15	3	20
80%	20	20	20	5	-18	-23	-23	-23	-41	-34	-24	-24	-21	-21	3	21
100%	20	20	20	5	-18	-23	-23	-23	-41	-34	-24	-24	-21	-21	3	21
